,importance
avg_transaction_hour,0.6372153
online_ratio,0.2525563
weekend_activity_ratio,0.043824874
top_merchant_ratio,0.020734483
tokenized_ratio,0.014958477
recurring_ratio,0.008429346
total_amount,0.006854555
recurring_capable_ratio,0.0059411284
night_activity_ratio,0.0027995245
international_ratio,0.0013840877
unique_mcc,0.0010033454
unique_merchants,0.000905584
median_amount,0.0008765594
avg_amount,0.0007207126
txn_count,0.00055311824
avg_txn_per_day,0.00043165623
unique_countries,0.0003200801
std_amount,0.00029752744
max_amount,0.00019332978
